zone_geo,IVG_HOSP_INS,IVG_HOSP_MED,IVG_HOSP_INC,IVG_CAB,IVG_CEN,TOT_IVG,TAUX_rec,annee,IVG_INST,part_anesth,PART_IVG_TARD,NB_IVG_TARD,Unnamed: 4,Unnamed: 5,IVG_HORS_ZONE,CAB_GO,CAB_MG,CAB_SF,CAB_AUT,TELE_GO,TELE_MG,TELE_SF,TELE_AUT,AGE_INF_18,AGE_18&19,AGE_20_24,AGE_25_29,AGE_30_34,AGE_35_39,AGE_40&plus,IVG_GO,IVG_MG,IVG_SF,IVG_AUT,Unnamed: 6
Ain,449.0,857.0,5.0,184.0,11.0,1506.0,"10,81725589",2016.0,214.0,"99,5","5,7",86.0,,,"48,3",,6.0,,0.0,,,,,56.0,91.0,346.0,331.0,333.0,225.0,124.0,0,77,0,0,
Ain,362.0,831.0,7.0,264.0,11.0,1475.0,"10,57810225",2017.0,149.0,"100,0","4,5",67.0,,,"48,1",,6.0,,0.0,,,,,40.0,116.0,331.0,339.0,307.0,242.0,99.0,0,150,0,0,
Ain,395.0,766.0,3.0,366.0,11.0,1541.0,"11,06380535",2018.0,154.0,"100,0","4,5",69.0,,,"50,7",1.0,6.0,,0.0,,,,,38.0,100.0,370.0,357.0,315.0,249.0,112.0,NC,202,0,0,
Ain,410.0,855.0,17.0,342.0,11.0,1635.0,"11,72681891",2019.0,172.0,"100,0","5,0",82.0,,,"50,5",,8.0,3.0,0.0,,,,,52.0,98.0,377.0,376.0,337.0,269.0,125.0,0,177,13,0,
Ain,323.0,792.0,8.0,436.0,16.0,1575.0,"11,29461372",2020.0,179.0,"100,0","4,1",65.0,,,"44,7",,8.0,4.0,0.0,,1.0,,,50.0,91.0,311.0,319.0,379.0,286.0,136.0,0,192,117,NC,
Ain,329.0,776.0,5.0,459.0,27.0,1596.0,"11,40529532",2021.0,148.0,"87,8","3,6",58.0,,,"47,3",,9.0,7.0,0.0,1.0,,,,43.0,84.0,303.0,357.0,374.0,296.0,138.0,NC,126,175,0,
Ain,370.0,787.0,8.0,616.0,43.0,1824.0,"12,88408561",2022.0,178.0,"100,0","5,0",92.0,,,"48,3",,8.0,8.0,,,,,,45.0,78.0,357.0,439.0,441.0,325.0,137.0,0,128,252,0,
Ain,351.0,786.0,5.0,630.0,103.0,1875.0,"13,19725497",2023.0,156.0,"100,0","5,1",96.0,,,"43,9",,6.0,10.0,0.0,,,,2.0,48.0,88.0,390.0,415.0,413.0,350.0,164.0,0,114,271,NC,
Ain,375.0,715.0,2.0,591.0,153.0,1836.0,"12,86038497",2024.0,160.0,"98,1","5,0",92.0,,,"42,8",,7.0,12.0,,,,,2.0,46.0,106.0,382.0,401.0,426.0,332.0,127.0,0,88,288,NC,
Aisne,354.0,1007.0,2.0,215.0,5.0,1583.0,"14,32656977",2016.0,356.0,"100,0","4,2",66.0,,,"16,7",3.0,,,0.0,,,,,99.0,97.0,374.0,374.0,314.0,221.0,104.0,194,0,0,0,
Aisne,364.0,1013.0,4.0,221.0,7.0,1609.0,"14,76607382",2017.0,347.0,"100,0","6,0",97.0,,,"15,2",3.0,1.0,1.0,0.0,,,,,94.0,87.0,356.0,374.0,357.0,248.0,93.0,222,NC,NC,0,
Aisne,362.0,983.0,1.0,200.0,6.0,1552.0,"14,37835835",2018.0,375.0,"99,7","6,1",94.0,,,"14,3",3.0,1.0,,0.0,,,,,82.0,97.0,342.0,355.0,336.0,237.0,103.0,165,NC,0,0,
Aisne,290.0,1111.0,10.0,136.0,5.0,1552.0,"14,4643889",2019.0,291.0,"100,0","4,9",76.0,,,"14,9",2.0,,,0.0,,,,,81.0,113.0,335.0,343.0,343.0,244.0,93.0,NC,0,0,0,
Aisne,260.0,1059.0,3.0,133.0,5.0,1460.0,"13,73342113",2020.0,277.0,"98,9","4,4",64.0,,,17,1.0,,1.0,0.0,,1.0,,,72.0,87.0,328.0,341.0,308.0,246.0,76.0,NC,NC,NC,0,
Aisne,261.0,1096.0,0.0,156.0,4.0,1517.0,"14,43332318",2021.0,245.0,"99,6","5,3",81.0,,,"16,9",1.0,,2.0,0.0,,2.0,,,62.0,99.0,354.0,339.0,316.0,232.0,112.0,NC,NC,NC,0,
Aisne,287.0,1058.0,4.0,200.0,4.0,1553.0,"14,87775904",2022.0,288.0,"100,0","5,9",92.0,,,"18,6",1.0,1.0,2.0,,,,,,59.0,112.0,351.0,344.0,325.0,252.0,107.0,NC,NC,NC,NC,
Aisne,307.0,1152.0,6.0,247.0,20.0,1732.0,"16,72331222",2023.0,311.0,"100,0","5,9",103.0,,,"20,5",2.0,1.0,3.0,0.0,,1.0,1.0,,79.0,116.0,428.0,379.0,372.0,238.0,119.0,NC,NC,54,0,
Aisne,313.0,1193.0,5.0,245.0,13.0,1769.0,"17,22308224",2024.0,309.0,"100,0","5,4",95.0,,,"19,2",2.0,2.0,5.0,,,3.0,,,80.0,105.0,415.0,403.0,372.0,274.0,111.0,NC,NC,82,0,
Allier,334.0,363.0,6.0,139.0,4.0,846.0,"13,54206685",2016.0,334.0,"99,4","7,6",64.0,,,"14,8",6.0,5.0,,0.0,,,,,48.0,65.0,220.0,193.0,139.0,121.0,60.0,100,13,0,0,
Allier,266.0,377.0,5.0,197.0,3.0,848.0,"13,76221234",2017.0,273.0,"99,6","3,9",33.0,,,"15,2",6.0,4.0,2.0,0.0,,,,,34.0,60.0,231.0,179.0,175.0,122.0,46.0,73,18,NC,0,
Allier,232.0,380.0,2.0,283.0,5.0,902.0,"14,82699104",2018.0,233.0,"100,0","3,0",27.0,,,"15,4",6.0,3.0,2.0,0.0,,,,,35.0,53.0,260.0,180.0,195.0,122.0,56.0,83,23,NC,0,
