code_dep,taux_pauvrete
01,10.8
02,18.8
03,16.2
04,17.1
05,14.7
06,16.4
07,14.9
08,19.4
09,19.0
10,16.9
11,20.8
12,14.5
13,18.5
14,12.5
15,14.2
16,15.1
17,12.5
18,14.7
19,13.7
21,11.8
22,11.8
23,19.2
24,16.6
25,13.1
26,14.8
27,12.7
28,12.1
29,10.8
2A,15.8
2B,20.2
30,20.0
31,14.3
32,15.3
33,12.8
34,19.4
35,10.8
36,15.4
37,12.8
38,11.8
39,11.8
40,11.7
41,13.2
42,15.8
43,12.3
44,10.5
45,13.9
46,15.3
47,17.7
48,15.5
49,11.5
50,11.7
51,15.0
52,15.3
53,11.5
54,15.3
55,14.8
56,11.1
57,15.9
58,16.1
59,19.5
60,13.4
61,15.6
62,18.4
63,13.9
64,12.6
65,16.0
66,21.2
67,13.5
68,13.7
69,14.8
70,13.6
71,13.3
72,13.5
73,11.2
74,9.5
75,15.6
76,15.4
77,12.4
78,10.5
79,12.4
80,16.4
81,15.7
82,16.7
83,15.6
84,19.9
85,9.1
86,14.7
87,16.1
88,15.3
89,14.9
90,16.3
91,13.9
92,12.4
93,28.4
94,17.2
95,17.7
972,26.8
974,36.1
971,34.5
976,52.9
973,77.3
